segment_id,segment_name,year,methodology,projection_method,projection_label,occcd,soctitle,employment,employment_auto,employment_raw,share,share_2024,share_2034,ep_entry_education,ep_work_experience,ep_on_the_job_training,ep_edu_grouped,ep_avg_annual_salary,empl_2021,ep_openings_annual_avg,openings,employment_auto_2024,employment_raw_2024,employment_auto_change,employment_raw_change,employment_auto_pct_change,employment_raw_pct_change
3,3. Forging & Foundries,2030,sam_mi_moodys_mi_detail,moodys_mi_detail,Moody's MI (detail),37-0000,Building and Grounds Cleaning and Maintenance Occupations,38.89601445543148,38.89601445543148,71.44136288080551,0.002549624042420374,0.0025125628140703574,0.0038940809968847,No formal educational credential,Unreported,Short-term on-the-job training,HS or less,35930.0,120.0,351.3,0.0,44.59574714426781,80.13567839195998,-5.699732688836335,-8.694315511154471,-0.12780888434041987,-0.10849493865427577
3,3. Forging & Foundries,2030,sam_mi_moodys_mi_detail,moodys_mi_detail,Moody's MI (detail),41-0000,Sales and Related Occupations,91.76752495677326,91.76752495677326,168.5518977432077,0.0060153383635563875,0.005967336683417067,0.020638629283489005,High school diploma or equivalent,Unreported,Moderate-term on-the-job training,HS or less,66780.0,150.0,114.8,0.0,105.91489946763548,190.32223618090393,-14.147374510862221,-21.77033843769624,-0.13357303440754573,-0.11438673102287024
3,3. Forging & Foundries,2030,sam_mi_moodys_mi_detail,moodys_mi_detail,Moody's MI (detail),43-0000,Office and Administrative Support Occupations,451.4304188373958,451.4304188373958,829.1544730000708,0.029591151316198668,0.030464824120602987,0.013956466583164713,High school diploma or equivalent,Less than 5 years,Short-term on-the-job training,HS or less,47095.933775709535,940.0,1244.8000000000002,0.0,540.7234341242455,971.6451005025117,-89.29301528684971,-142.49062750244093,-0.16513620392922027,-0.14664884064021746
3,3. Forging & Foundries,2030,sam_mi_moodys_mi_detail,moodys_mi_detail,Moody's MI (detail),47-0000,Construction and Extraction Occupations,39.56667229286086,39.56667229286086,72.67317828923377,0.002593585496324781,0.0025125628140703574,0.0029205607476635,High school diploma or equivalent,Unreported,Apprenticeship,HS or less,62350.0,130.0,81.0,0.0,44.59574714426781,80.13567839195998,-5.029074851406953,-7.46250010272621,-0.11277027908373935,-0.0931233160119466
3,3. Forging & Foundries,2030,sam_mi_moodys_mi_detail,moodys_mi_detail,Moody's MI (detail),49-0000,"Installation, Maintenance, and Repair Occupations",517.8670935759575,517.8670935759575,951.1805123010934,0.033946058768374546,0.03172110552763819,0.017853011936707654,High school diploma or equivalent,Less than 5 years,Long-term on-the-job training,HS or less,61945.381301963316,760.0,257.9,0.0,563.0213076963798,1011.7129396984924,-45.15421412042235,-60.53242739739903,-0.08019983169939394,-0.05983162320276216
3,3. Forging & Foundries,2030,sam_mi_moodys_mi_detail,moodys_mi_detail,Moody's MI (detail),51-0000,Production Occupations,4904.362671585235,4904.362671585235,9007.975707158117,0.3214797494111025,0.32631909547738736,0.031815466285279065,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,HS or less,49356.13398353081,9330.0,531.1,0.0,5791.872660361776,10407.621231155788,-887.5099887765409,-1399.6455239976713,-0.15323368465098552,-0.13448274998784113
3,3. Forging & Foundries,2030,sam_mi_moodys_mi_detail,moodys_mi_detail,Moody's MI (detail),53-0000,Transportation and Material Moving Occupations,490.8407243001908,490.8407243001908,901.5404480988065,0.03217448700582848,0.031407035175879394,0.017353971962616777,No formal educational credential,Less than 5 years,Short-term on-the-job training,HS or less,43472.41152918402,710.0,1231.8999999999999,0.0,557.4468393033463,1001.6959798994974,-66.60611500315554,-100.15553180069094,-0.11948424550472772,-0.09998595762632469
3,3. Forging & Foundries,2030,sam_mi_moodys_us,moodys_us,Moody's US,00-0000,All Occupations,7869.233020933057,7869.233020933057,14395.701208822346,0.49999999999999994,0.4999999999999999,0.025870322210742182,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,HS or less,58229.86391943945,14030.0,4992.900000000001,0.0,8874.553681709272,15947.0,-1005.3206607762158,-1551.2987911776545,-0.11328126425650144,-0.09727840917900887
3,3. Forging & Foundries,2030,sam_mi_moodys_us,moodys_us,Moody's US,11-0000,Management Occupations,490.01682875054354,490.01682875054354,896.4197444938645,0.03113498021008165,0.03015075376884414,0.012203481957424704,Bachelor's degree,5 years or more,Unreported,BA+,133287.3565758317,760.0,600.3,0.0,535.1489657312111,961.6281407035149,-45.13213698066755,-65.20839620965035,-0.08433565207212984,-0.06781040763006864
3,3. Forging & Foundries,2030,sam_mi_moodys_us,moodys_us,Moody's US,13-0000,Business and Financial Operations Occupations,235.01332555106939,235.01332555106939,429.9252043655639,0.014932416216796932,0.014447236180904393,0.006823107138019751,Bachelor's degree,Unreported,Moderate-term on-the-job training,BA+,79796.73130958094,350.0,456.9,0.0,256.425546079537,460.7801507537647,-21.41222052846763,-30.8549463882008,-0.08350268082036598,-0.06696240351874296
