segment_id,segment_name,year,methodology,projection_method,projection_label,occcd,soctitle,employment,employment_auto,employment_raw,share,share_2024,share_2034,ep_entry_education,ep_work_experience,ep_on_the_job_training,ep_edu_grouped,ep_edu_training_grouped,ep_avg_annual_salary,ep_employment_2024,ep_employment_2034,ep_openings_ratio,empl_2021,ep_openings_annual_avg,openings,employment_auto_2024,employment_raw_2024,employment_auto_change,employment_raw_change,employment_auto_pct_change,employment_raw_pct_change
5,5. Component Systems,2030,sam_mi_bls_us,bls_us,BLS US,11-3061,Purchasing Managers,15.114066913750117,15.114066913750117,45.17158294054967,0.00244372506241297,0.002489110143123809,0.0027434842249657,Bachelor's degree,5 years or more,,BA+,BA+,139510,83.5,86.1,0.07547169811320756,60.0,6.4,1.1406842953773675,14.805354513208737,44.38332296204064,0.3087124005413795,0.7882599785090321,0.02085140212387071,0.01776027403768755
6,6. Engineering & Design,2030,sam_mi_bls_us,bls_us,BLS US,11-3061,Purchasing Managers,3.3572298180057674,3.3572298180057674,388.5233690372057,0.0032478510949423734,0.0032493907392363275,0.0012573486933768,Bachelor's degree,5 years or more,,BA+,BA+,139510,83.5,86.1,0.07547169811320756,500.0,6.4,0.25337583532119,3.29125806199811,379.73679935011415,0.06597175600765715,8.786569687091571,0.020044540648266863,0.02313857835777045
7,7. Core Automotive,2030,sam_mi_bls_us,bls_us,BLS US,11-3061,Purchasing Managers,295.6320603051895,295.6320603051895,295.6320603051895,0.0019147862445575694,0.001947308132875114,0.001418439716312,Bachelor's degree,5 years or more,,BA+,BA+,139510,83.5,86.1,0.07547169811320756,290.0,6.4,22.311853607938833,324.1235967926641,324.1235967926641,-28.491536487474605,-28.491536487474605,-0.08790330839658093,-0.08790330839658093
8,"8. Motor Vehicle Parts, Materials, & Products Sales",2030,sam_mi_bls_us,bls_us,BLS US,11-3061,Purchasing Managers,161.23060756762337,161.23060756762337,161.23060756762337,0.0013885705124685771,0.0013547687861271086,0.0010016485465662,Bachelor's degree,5 years or more,,BA+,BA+,139510,83.5,86.1,0.07547169811320756,170.0,6.4,12.168347740952708,157.9267521676232,157.9267521676232,3.303855400000174,3.303855400000174,0.020920175680517177,0.020920175680517177
0,0. All Segments,2030,sam_mi_bls_us,bls_us,BLS US,11-3061,Purchasing Managers,538.7291203591518,538.7291203591518,1110.204961226653,0.0012073235308276413,0.0012269363786964957,0.0011921376084505768,Bachelor's degree,5 years or more,,BA+,BA+,139510,,,,1280.0,51.2,40.65880153653977,562.0866179375329,1121.1252884087562,-23.35749757838107,-10.920327182103165,-0.04155497895339841,-0.009740505628592754
1,1. Materials & Processing,2030,sam_mi_bls_us,bls_us,BLS US,11-3071,"Transportation, Storage, and Distribution Managers",44.668783247750724,44.668783247750724,150.62201887618207,0.0021231742977072857,0.002090009753378814,0.0024441833137485,High school diploma or equivalent,5 years or more,,HS or less,HS or Less - Limited Training,102010,216.7,229.8,0.08286674132138858,100.0,18.5,3.7015565065325347,43.73979049262975,147.56304862755778,0.9289927551209729,3.0589702486242913,0.021239076471514195,0.020729920376916237
10,10. Logistics,2030,sam_mi_bls_us,bls_us,BLS US,11-3071,"Transportation, Storage, and Distribution Managers",1144.2852425563924,1144.2852425563924,1144.2852425563924,0.025145718341848162,0.02448892674616695,0.0121832674486423,High school diploma or equivalent,5 years or more,,HS or less,HS or Less - Limited Training,102010,216.7,229.8,0.08286674132138858,770.0,18.5,94.82318919280296,1107.021933560477,1107.021933560477,37.263308995915395,37.263308995915395,0.03366085880165597,0.03366085880165597
2,2. Equipment Manufacturing,2030,sam_mi_bls_us,bls_us,BLS US,11-3071,"Transportation, Storage, and Distribution Managers",5.167474502360373,5.167474502360373,38.66988503964281,0.0008576037955208902,0.000848176420695504,0.0021500752526338,High school diploma or equivalent,5 years or more,,HS or less,HS or Less - Limited Training,102010,216.7,229.8,0.08286674132138858,60.0,18.5,0.4282117728719682,5.16460560904738,38.98049194232397,0.002868893312992782,-0.3106069026811653,0.0005554912669356671,-0.007968265334894777
4,4. Parts & Machining,2030,sam_mi_bls_us,bls_us,BLS US,11-3071,"Transportation, Storage, and Distribution Managers",38.74662573526619,38.74662573526619,131.0787083162913,0.0026848311287503454,0.0027116017819097124,0.0019494829632141,High school diploma or equivalent,5 years or more,,HS or less,HS or Less - Limited Training,102010,216.7,229.8,0.08286674132138858,60.0,18.5,3.210806611880961,39.596072730569524,133.6521402285478,-0.8494469953033317,-2.5734319122564955,-0.021452809249123576,-0.01925470035762896
5,5. Component Systems,2030,sam_mi_bls_us,bls_us,BLS US,11-3071,"Transportation, Storage, and Distribution Managers",19.468675519222707,19.468675519222707,58.186250992388395,0.0031478020158179744,0.0031113876789047113,0.0027434842249657,High school diploma or equivalent,5 years or more,,HS or less,HS or Less - Limited Training,102010,216.7,229.8,0.08286674132138858,,18.5,1.6133056981214784,18.506693141510627,55.47915370254991,0.9619823777120793,2.7070972898384866,0.05198024143785833,0.04879485552992609
6,6. Engineering & Design,2030,sam_mi_bls_us,bls_us,BLS US,11-3071,"Transportation, Storage, and Distribution Managers",3.19218429813756,3.19218429813756,369.42308549993413,0.0030881827667438274,0.003086921202274526,0.0012233662962585,High school diploma or equivalent,5 years or more,,HS or less,HS or Less - Limited Training,102010,216.7,229.8,0.08286674132138858,280.0,18.5,0.26452591048396357,3.1266951588982197,360.7499593826102,0.06548913923934041,8.673126117323932,0.02094516283525938,0.024041932346069217
7,7. Core Automotive,2030,sam_mi_bls_us,bls_us,BLS US,11-3071,"Transportation, Storage, and Distribution Managers",154.7465448906214,154.7465448906214,154.7465448906214,0.0010022815361888913,0.000973654066437507,0.0017457719585379,High school diploma or equivalent,5 years or more,,HS or less,HS or Less - Limited Training,102010,216.7,229.8,0.08286674132138858,170.0,18.5,12.82334190582977,162.06179839632372,162.06179839632372,-7.315253505702316,-7.315253505702316,-0.04513866671905486,-0.04513866671905486
8,"8. Motor Vehicle Parts, Materials, & Products Sales",2030,sam_mi_bls_us,bls_us,BLS US,11-3071,"Transportation, Storage, and Distribution Managers",577.4727989456613,577.4727989456613,577.4727989456613,0.004973383853511336,0.0047868497109826305,0.004507418459548,High school diploma or equivalent,5 years or more,,HS or less,HS or Less - Limited Training,102010,216.7,229.8,0.08286674132138858,150.0,18.5,47.85328905036835,558.0078576589563,558.0078576589563,19.464941286705084,19.464941286705084,0.034882916108686206,0.034882916108686206
