adjustment_source,forecast_source,projection_label,segment_id,segment_name,year,value_type,employment_auto,employment_raw,auto_share_ratio,,,,
sam_mi,bls_us,BLS US,7,7. Core Automotive,2010,QCEW,126033,126033,1,,,,
sam_mi,bls_us,BLS US,8,"8. Motor Vehicle Parts, Materials, & Products Sales",2010,QCEW,89086.8125,89086.8125,1,,,,
sam_mi,bls_us,BLS US,9,"9. Dealers, Maintenance, & Repair",2010,QCEW,57415,57415,1,,,,
sam_mi,bls_us,BLS US,10,10. Logistics,2010,QCEW,34234,34234,1,,,,
sam_mi,bls_us,BLS US,1,1. Materials & Processing,2011,QCEW,20536.11974,69846,0.294019983,,,,
sam_mi,bls_us,BLS US,2,2. Equipment Manufacturing,2011,QCEW,5218.672474,44416,0.117495328,,,,
sam_mi,bls_us,BLS US,3,3. Forging & Foundries,2011,QCEW,9328.231486,16777,0.556013083,,,,
sam_mi,bls_us,BLS US,4,4. Parts & Machining,2011,QCEW,13891.08772,44729,0.310561106,,,,
sam_mi,bls_us,BLS US,5,5. Component Systems,2011,QCEW,4381.646917,14492,0.302349359,,,,
sam_mi,bls_us,BLS US,6,6. Engineering & Design,2011,QCEW,663.4546497,86598,0.007661316,,,,
sam_mi,bls_us,BLS US,7,7. Core Automotive,2011,QCEW,137663,137663,1,,,,
sam_mi,bls_us,BLS US,8,"8. Motor Vehicle Parts, Materials, & Products Sales",2011,QCEW,92585.61085,92585.61085,1,,,,
sam_mi,bls_us,BLS US,9,"9. Dealers, Maintenance, & Repair",2011,QCEW,58514,58514,1,,,,
sam_mi,bls_us,BLS US,10,10. Logistics,2011,QCEW,36615,36615,1,,,,
sam_mi,bls_us,BLS US,1,1. Materials & Processing,2012,QCEW,20874.04374,72219,0.289038116,,,,
sam_mi,bls_us,BLS US,2,2. Equipment Manufacturing,2012,QCEW,5709.020442,48753,0.117100905,,,,
sam_mi,bls_us,BLS US,3,3. Forging & Foundries,2012,QCEW,9888.2863,17730,0.557714963,,,,
sam_mi,bls_us,BLS US,4,4. Parts & Machining,2012,QCEW,14869.70862,47604,0.312362588,,,,
sam_mi,bls_us,BLS US,5,5. Component Systems,2012,QCEW,4579.766128,15170,0.301896251,,,,
sam_mi,bls_us,BLS US,6,6. Engineering & Design,2012,QCEW,713.3704627,93379,0.007639517,,,,
sam_mi,bls_us,BLS US,7,7. Core Automotive,2012,QCEW,150169,150169,1,,,,
sam_mi,bls_us,BLS US,8,"8. Motor Vehicle Parts, Materials, & Products Sales",2012,QCEW,95608.29067,95608.29067,1,,,,
sam_mi,bls_us,BLS US,9,"9. Dealers, Maintenance, & Repair",2012,QCEW,60173,60173,1,,,,
sam_mi,bls_us,BLS US,10,10. Logistics,2012,QCEW,38488,38488,1,,,,
sam_mi,bls_us,BLS US,1,1. Materials & Processing,2013,QCEW,21753.94493,74741,0.291057718,,,,
