ReceivingCode,ReceivingDescription,total_industry_output,auto_attributed_output,auto_share_of_output
426,"Insurance carriers, except direct life",20488477572.3,103508122.2418061,0.005052016279713577
460,Other support services,2711898985.095,102003383.91092163,0.03761326821963038
384,Wholesale - Wholesale electronic markets and agents and brokers,1005310253.0,97797335.3134,0.09728074991929879
397,Rail transportation,793973399.5,94873352.03082927,0.11949185210811243
442,Computer systems design services,5096861743.3776,92856266.28122334,0.018218321578346196
132,Wood container and pallet manufacturing,380760906.875628,91623326.94665807,0.2406321796491203
188,Other rubber product manufacturing,187038446.36333698,89939680.244767,0.48086199384939315
396,Air transportation,5252007319.985,86506049.70184168,0.016471045151187785
381,Wholesale - Grocery and related product wholesalers,5465906852.0,84042391.627,0.015375745306791774
112,Carpet and rug mills,170694097.63168576,82874554.80340752,0.48551505853605803
421,Nondepository credit intermediation and related activities,8343529894.523,81147950.94922979,0.009725853682444201
439,"Architectural, engineering, and related services",11169430193.11,80899860.19113716,0.007242971108861151
222,"Metal crown, closure, and other metal stamping (except automotive)",302847426.112447,77978373.11007981,0.2574840212811533
205,Mineral wool manufacturing,193002099.0987,77313670.24825022,0.40058460819492187
244,"Valve and fittings, other than plumbing, manufacturing",283236945.34593403,75205056.15749522,0.26551993796445883
231,Sheet metal work manufacturing,385986037.0037161,74814490.34084964,0.19382693457413683
187,Rubber and plastics hoses and belting manufacturing,108136002.860899,73586328.72400972,0.6804979542166698
178,Plastics packaging materials and unlaminated film and sheet manufacturing,280153915.446074,70797805.79917379,0.25271039202306433
223,Iron and steel forging,221866925.61240104,65884069.139210306,0.2969530900442052
156,Plastics material and resin manufacturing,710223544.95184,62112837.07496303,0.08745533362904052
266,"Special tool, die, jig, and fixture manufacturing",420211343.49026996,60150961.274677046,0.1431445443025501
440,Specialized design services,1610668591.0,54233246.20995279,0.03367126329587238
420,Internet publishing and broadcasting and web search portals,6906377388.88298,54122395.77743076,0.007836582441114527
438,"Accounting, tax preparation, bookkeeping, and payroll services",5302630918.68,53561482.73722585,0.010100926041927706
461,Waste management and remediation services,4584570921.119,51298018.422970034,0.01118927361046238
382,Wholesale - Petroleum and petroleum products,5534119845.0,50661250.87738614,0.009154346544041302
444,Management consulting services,4499138543.099999,50422909.318924494,0.011207236415569916
447,"Advertising, public relations, and related services",4131324450.711,49769607.069878645,0.012046888997380321
243,"Electroplating, anodizing, and coloring metal",193377477.3840268,48918340.91875918,0.25296814076032564
494,"Automotive repair and maintenance, except car washes",7288561376.0,47139170.43639,0.0064675548444458894
369,"Gasket, packing, and sealing device manufacturing",107418078.4828152,47125805.477733046,0.4387139124376746
455,Business support services,2527200181.5288,46310590.30903341,0.018324860312813985
516,Other local government enterprises,5692807421.536,44712870.31325841,0.007854274174831342
435,Commercial and industrial machinery and equipment rental and leasing,2502330118.986,43773879.90223289,0.017493247421715503
214,"Other aluminum rolling, drawing and extruding",121698942.52626,43773087.92022481,0.3596833876414294
128,Reconstituted wood product manufacturing,292971038.39086,42687342.8330381,0.14570499209579837
446,Scientific research and development services,15786953055.44,42566197.14448728,0.00269628958767439
12001,State/Local Govt Other,5169213207.636,42237102.485757634,0.008170895799647937
417,"Satellite, telecommunications resellers, and all other telecommunications",1378830148.649,38935913.57209585,0.02823836830826907
264,"Air conditioning, refrigeration, and warm air heating equipment manufacturing",196924377.458149,38516256.4220103,0.19558907291808453
