segment_id,segment_label_us,stage,occcd,Occupation Title,Occupation Type,Display Level,2024 Employment,2024 Percent of Industry,2024 Percent of Occupation,Projected 2034 Employment,Projected 2034 Percent of Industry,Projected 2034 Percent of Occupation,"Employment Change, 2024-2034","Employment Percent Change, 2024-2034",segment_share_2024,segment_share_2034,segment_label_raw,soctitle,empl_2021,empl_2024,occ_level,is_total_all,pct_seg_major_2021,pct_seg_detailed_2021,pct_seg_major_2024,pct_seg_detailed_2024,level_change_2021_2024,pct_change_2021_2024,ep_title,ep_type,ep_employment_2024,ep_employment_2034,ep_change_numeric,ep_change_percent,ep_openings_annual_avg,ep_median_annual_wage_2024,ep_entry_education,ep_work_experience,ep_on_the_job_training,ep_edu_grouped,segment_label_mi,segment_name,share_diff_2024,share_diff_pct_points
2.0,2. Equipment Manufacturing,Upstream,35-0000,Food preparation and serving related occupations,Summary,1.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,1.2,0.0001066894270777,0.0001075037626316,,,,,,,,,,,,,,,,,,,,,,,,,,2. Equipment Manufacturing,,
2.0,2. Equipment Manufacturing,Upstream,37-0000,Building and grounds cleaning and maintenance occupations,Summary,1.0,3.4,0.8999999999999999,0.0,3.4,1.0,0.0,0.0,-3.0,0.0036274405206444,0.0036551279294775,2. Equipment Manufacturing,Building and Grounds Cleaning and Maintenance Occupations,250.0,310.0,major,False,0.0052224775433465,,0.0064235391628678,,60.0,24.0,  Building and grounds cleaning and maintenance occupations,Summary,5715.9,5832.9,117.1,2.0,788.7,36790.0,—,—,—,,2. Equipment Manufacturing,2. Equipment Manufacturing,-0.0027960986422234,-0.27960986422233997
2.0,2. Equipment Manufacturing,Upstream,41-0000,Sales and related occupations,Summary,1.0,32.7,6.5,0.2,31.8,6.4,0.2,-0.8,-8.6,0.0348874426544329,0.034186196516878,2. Equipment Manufacturing,Sales and Related Occupations,1840.0,1920.0,major,False,0.0384374347190307,,0.0397845006216328,,80.0,4.347826086956519,  Sales and related occupations,Summary,14532.6,14234.8,-297.8,-2.0,1786.8,37460.0,—,—,—,,2. Equipment Manufacturing,2. Equipment Manufacturing,-0.0048970579671999,-0.48970579671999
2.0,2. Equipment Manufacturing,Upstream,43-0000,Office and administrative support occupations,Summary,1.0,79.10000000000001,17.3,0.4,72.10000000000001,16.0,0.4,-7.0,-20.4,0.0843913368185212,0.07751021285745,2. Equipment Manufacturing,Office and Administrative Support Occupations,4260.0,4150.0,major,False,0.0889910173386254,,0.0859925404061334,,-110.0,-2.582159624413149,  Office and administrative support occupations,Summary,19325.2,18563.3,-761.9,-3.9,1996.8,46320.0,—,—,—,,2. Equipment Manufacturing,2. Equipment Manufacturing,-0.0016012035876121905,-0.16012035876121905
2.0,2. Equipment Manufacturing,Upstream,45-0000,"Farming, fishing, and forestry occupations",Summary,1.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,-1.9,0.0001066894270777,0.0001075037626316,,,,,,,,,,,,,,,,,,,,,,,,,,2. Equipment Manufacturing,,
2.0,2. Equipment Manufacturing,Upstream,47-0000,Construction and extraction occupations,Summary,1.0,14.3,2.1,0.2,14.4,2.3,0.2,0.1,-3.0,0.015256588072122,0.0154805418189636,2. Equipment Manufacturing,Construction and Extraction Occupations,510.0,520.0,major,False,0.0106538541884269,,0.0107749689183588,,10.0,1.9607843137254832,  Construction and extraction occupations,Summary,7574.7,7968.8,394.1,5.2,649.3,58360.0,—,—,—,,2. Equipment Manufacturing,2. Equipment Manufacturing,0.004481619153763201,0.4481619153763201
2.0,2. Equipment Manufacturing,Upstream,49-0000,"Installation, maintenance, and repair occupations",Summary,1.0,48.1,8.9,0.7999999999999999,52.0,9.9,0.7999999999999999,4.0,13.5,0.0513176144244105,0.0559019565684799,2. Equipment Manufacturing,"Installation, Maintenance, and Repair Occupations",1670.0,1770.0,major,False,0.034886149989555,,0.0366763365105677,,100.0,5.988023952095811,"  Installation, maintenance, and repair occupations",Summary,6492.9,6794.3,301.4,4.6,608.1,58230.0,—,—,—,,2. Equipment Manufacturing,2. Equipment Manufacturing,0.014641277913842794,1.4641277913842794
2.0,2. Equipment Manufacturing,Upstream,51-0000,Production occupations,Summary,1.0,468.0,108.1,5.199999999999999,458.1,106.7,5.2,-9.8,-8.200000000000001,0.4993065187239944,0.4924747366157816,2. Equipment Manufacturing,Production Occupations,25590.0,24370.0,major,False,0.5345728013369543,,0.5049730625777041,,-1220.0,-4.767487299726458,  Production occupations,Summary,9001.2,8901.6,-99.6,-1.1,963.4,45960.0,—,—,—,,2. Equipment Manufacturing,2. Equipment Manufacturing,-0.005666543853709738,-0.5666543853709738
2.0,2. Equipment Manufacturing,Upstream,53-0000,Transportation and material moving occupations,Summary,1.0,46.8,8.4,0.3,46.9,8.4,0.3,0.0999999999999999,-3.3999999999999995,0.0499306518723994,0.0504192646742636,2. Equipment Manufacturing,Transportation and Material Moving Occupations,1320.0,1290.0,major,False,0.0275746814288698,,0.0267302113551595,,-30.0,-2.2727272727272707,  Transportation and material moving occupations,Summary,14204.6,14784.4,579.9,4.1,1830.0,42740.0,—,—,—,,2. Equipment Manufacturing,2. Equipment Manufacturing,0.023200440517239903,2.32004405172399
3.0,3. Forging & Foundries,Upstream,00-0000,"Total, all occupations",Summary,0.0,573.8,200.0,0.4,513.6,200.0,0.3,-60.2,-24.2,1.0,1.0,3.Forging and foundries,Total all occupations,15950.0,17010.0,major,True,,,,,1060.0,6.645768025078369,"Total, all occupations",Summary,169956.1,175167.9,5211.8,3.1,18863.3,49500.0,—,—,—,,3. Forging & Foundries,3. Forging & Foundries,,
3.0,3. Forging & Foundries,Upstream,11-0000,Management occupations,Summary,1.0,37.5,11.7,0.2,34.9,12.3,0.2,-2.6,-16.1,0.0653537818055071,0.0679517133956386,3.Forging and foundries,Management Occupations,890.0,1030.0,major,False,0.0558343789209535,,0.0605882352941176,,140.0,15.73033707865168,  Management occupations,Summary,13607.6,14441.0,833.4,6.1,1147.9,122090.0,—,—,—,,3. Forging & Foundries,3. Forging & Foundries,0.004765546511389503,0.47655465113895024
