segment_id,segment_name,occcd,issue,level
2.0,2. Equipment Manufacturing,13-1080,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,13-1141,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,13-2000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,13-2031,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,13-2041,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,13-2050,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,13-2099,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,15-1200,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,15-1210,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,15-1212,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,15-1230,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,15-1231,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,15-1240,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,15-1241,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,15-1242,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,15-1243,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,15-1250,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,15-1253,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,15-1254,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,15-1255,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,15-2000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,15-2031,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,15-2051,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,17-1000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,17-2000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,17-2041,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,17-2051,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,17-2061,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,17-2070,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,17-2081,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,17-2110,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,17-2171,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,17-3000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,17-3010,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,17-3011,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,17-3012,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,17-3019,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,17-3020,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,17-3022,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,17-3028,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,19-1000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,19-2000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,19-2030,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,19-2031,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,19-2032,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,19-2040,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,19-2041,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,19-2042,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,19-4000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,19-4031,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,19-4040,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,19-4043,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,19-4090,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,19-4099,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,19-5000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,19-5012,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,23-1000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,23-1010,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,23-1011,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,23-2000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,23-2011,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,27-1000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,27-1010,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,27-1014,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,27-1020,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,27-1024,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,27-3000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,27-3031,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,27-3040,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,27-4000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,29-1000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,29-1141,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,33-9000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,33-9030,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,33-9032,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,35-3000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,35-3011,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,37-2000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,37-2010,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,37-3000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,37-3011,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,41-1000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,41-2000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,41-2020,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,41-2031,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,41-3000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,41-4000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,41-9000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,41-9090,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,41-9099,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,43-1000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,43-3000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,43-3011,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,43-3021,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,43-4000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,43-4071,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,43-4161,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,43-5000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,43-5030,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,43-5032,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,43-5111,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,43-6000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,43-9000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,43-9020,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,43-9021,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,43-9199,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,45-2000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,45-2090,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,45-2092,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,47-1000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,47-1011,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,47-2000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,47-2031,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,47-2061,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,47-2070,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,47-2073,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,47-2140,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,47-2150,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,47-2211,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,47-2221,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,47-3000,missing_in_mi,detailed
