Stage,Sector,naics4,naics_title,emp,num_to_set,denom_total,share_to_set
,,6243,,,43584.2084,8493378.6617382,0.005131551310239162
,,5416,,,1693768592.493,336201978666.6309,0.0050379495064557505
,,5323,,,17998764.2898,3687335277.494561,0.00488123887178213
,,5322,,,64457442.5498,13207627429.246328,0.004880319564971114
,,3371,,,66888007.03960364,13942841298.844711,0.004797301038285928
,,6222,,,662495.4644,138104692.3298926,0.004797052534735662
,,6223,,,1636533.18,361207775.84347004,0.004530725220902205
,,3241,,,1129196937.9669,250578230044.24026,0.004506364889589719
,,4442,,,62444767.1493,13887362299.43698,0.004496517466951347
,,4441,,,410662560.9317,91499439020.11124,0.004488142936498637
,,3391,,,132526054.20140001,29991388002.70533,0.00441880363087716
,,6221,,,30012685.01020001,6945516709.77534,0.004321159427628935
,,5619,,,240808812.28759998,57443819392.67829,0.004192075228171425
,,6112,,,1463396.9611,400571440.39457995,0.003653273332862901
,,3251,,,692756983.083,194278075581.4848,0.003565801138443135
,,6241,,,293702.670379487,82548423.35739866,0.0035579440337446854
,,6113,,,125030952.521374,35339029455.44468,0.0035380414925942597
,,5616,,,239686797.8865,68344079403.17714,0.003507060157655113
,,5617,,,803585501.4879,244162138036.34796,0.003291196202452453
,,5613,,,1464194639.3362002,447402856801.39954,0.0032726537550611815
,,3118,,,28205173.6968,8671472658.2793,0.0032526394083559063
,,6239,,,83157.0354,25800492.29737403,0.0032230794064523997
,,5171,,,485144094.373,151962198559.9359,0.0031925314253837458
,,4451,,,34706957.71908,10897999295.365301,0.0031847091175570335
,,2121,,,60041378.763500005,19634999507.78752,0.0030578752364972934
,,8122,,,648630.6566999999,217126221.85055798,0.0029873437264819843
,,3121,,,93985883.6961,31942630357.474213,0.002942333885603393
,,5415,,,606722245.45355,207656059541.50903,0.002921765186111847
Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales",4247,Petroleum and Petroleum Products Merchant Wholesalers,0.0,267168937.8608,91645725914.85776,0.0029152362010751026
