Stage,Sector,naics4,naics_title,emp,num_to_set,denom_total,share_to_set
,,2362,,,43418128.45798824,409693462.5193247,0.10597710832630204
,,5418,,,312739750.36717236,2954259557.994437,0.10586062064887843
,,2389,,,44925888.26243723,427510763.8876,0.10508715114889838
,,8129,,,30049397.51064378,289488118.4906963,0.10380183362036505
,,2361,,,43614370.28478509,424411380.5552155,0.10276437504510062
,,4881,,,58133809.53297138,566006712.9386109,0.10270869267813185
,,4883,,,7768087.348335743,75881120.91717908,0.10237180545625137
,,4889,,,13265381.911889851,129982363.74548212,0.10205524449351248
,,6241,,,126266.96031312548,1246468.8434482338,0.10129973242156645
,,5612,,,31293355.59845537,309137460.70970446,0.1012279635299243
,,5324,,,216270448.3027411,2162331472.794923,0.10001725037244202
,,4885,,,96592473.53459802,979768446.1396043,0.09858704259683297
,,2372,,,1298484.9981744397,13210367.192254635,0.09829287704703273
,,4882,,,8550375.81603688,87068137.17698435,0.09820327037267879
,,5616,,,108355515.8281373,1136561888.2531772,0.09533622141304841
,,3341,,,2348753.1819415004,24676145.244737305,0.09518314788013417
OEM,6. Engineering & Design,5414,Industrial design,10160.0,73182203.17497832,770646064.4101813,0.09496214482194075
,,3241,,,213751831.3910126,2251856311.9088063,0.09492250027703764
,,6216,,,1295410.712894879,13666690.098005995,0.0947859872145548
,,4911,,,191645.9287270161,2038826.867456204,0.09399813774581467
,,5221,,,664829919.9736447,7082278408.848329,0.09387232209666194
,,vt|9,,,3439498213.3647566,37784780408.042336,0.09102866752753903
,,5222,,,164268579.84585723,1846331690.0846112,0.08897024339019462
,,6213,,,2314516.2475656583,26349304.909411803,0.08783974588790491
,,vl|1,,,11684337587.50686,134075856340.33255,0.0871472158107857
,,5223,,,84816904.11468478,990158091.7446854,0.08565996159788493
,,5416,,,534957011.9946989,6254666347.581234,0.0855292644349565
,,7213,,,2782361.5828751125,32886373.424372535,0.08460530283990106
,,9011,,,118541168.16515481,1402574846.4951496,0.08451682165937428
,,5131,,,58022385.46150176,712750983.4924138,0.0814062509983465
,,6223,,,413328.51796455437,5094911.648839528,0.08112574789372423
,,5241,,,515648153.9103074,6360430527.18709,0.08107126580601982
,,4244,,,103364448.92777808,1286070556.0524948,0.08037230029202143
,,7212,,,3848450.1603621216,47940075.720782176,0.08027626370005515
,,5614,,,115687785.54830946,1446910837.128691,0.07995502043366061
Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales",4247,Petroleum and Petroleum Products Merchant Wholesalers,0.0,118630587.0159427,1494215213.4102707,0.07939323997725217
,,6221,,,13338814.552946113,168382447.9647321,0.07921736923399487
,,5415,,,253990594.82666934,3210663718.318983,0.0791084389739988
,,6222,,,197579.05444043872,2524056.304711027,0.07827838629101384
,,3231,,,43536318.118021555,574223287.8313416,0.0758177507611096
,,5192,,,103140249.13226026,1367977796.7638478,0.07539614266858252
,,7211,,,88340633.63338034,1185188687.0930939,0.07453718939053743
,,3221,,,40622022.663494974,550851621.1377746,0.07374403760415714
,,5182,,,179433389.82629755,2434145673.8449745,0.07371514028692651
,,5161,,,34771182.09193586,476944047.35466397,0.07290411167681352
OEM,6. Engineering & Design,5413,"Architectural, Engineering, and Related Services",87100.0,321937370.437019,4423533703.688539,0.07277832429954662
,,3371,,,8101837.132963545,111586464.07769999,0.07260591327028756
,,7121,,,1089431.1350808535,15376164.491895808,0.07085194332143437
,,3333,,,5270161.159983647,75121273.74225622,0.07015537540092516
,,8112,,,24681838.413261924,351854569.6648679,0.07014784101502708
,,6244,,,1772.7755096951194,25700.503120662004,0.06897824145200841
,,6115,,,2687211.80087017,39168757.03070485,0.06860600143026323
,,vl|4,,,6893608283.277245,102292580003.91435,0.06739108821982447
,,6114,,,3273952.788944568,48629940.01176857,0.06732380891591194
,,6116,,,6287407.143701108,93419502.2128331,0.06730293990838031
,,7139,,,21834718.69989164,326854557.9079899,0.06680255230229389
,,5613,,,626113302.6808441,9654396644.825191,0.06485265995534213
,,5239,,,389351987.06236875,6005459949.508008,0.06483300035899267
,,4451,,,7969992.614300405,124804705.68774842,0.06385971242334965
,,5412,,,277744044.41532993,4369887694.287944,0.06355862297751504
,,6117,,,5973031.763428791,94529120.48439977,0.06318721398042126
,,5242,,,639325812.5975688,10233300930.51601,0.062475032928141494
,,3331,,,2279701.535871203,36794029.53843138,0.06195846349174813
,,5162,,,81762563.92581856,1344498036.9367228,0.06081270606545826
,,5171,,,148832728.5978545,2452242826.082468,0.060692492201361345
,,5313,,,614511307.362979,10224770266.192379,0.06010025568934548
