Stage,Sector,naics4,naics_title,emp,num_to_set,denom_total,share_to_set
,,3351,,,6385782.122450701,40129041.4897749,0.15913118991585767
,,4451,,,19856379.117862847,124804705.68774842,0.1590996029231618
,,7121,,,2437638.2827763,15376164.491895808,0.15853357214415117
,,3254,,,79294244.0793019,504433403.56452477,0.15719467330866194
,,5223,,,152801649.37075433,990158091.7446854,0.15432045715196216
,,7139,,,50053933.00548599,326854557.9079899,0.15313824389004313
,,5313,,,1551521692.2854474,10224770266.192379,0.15174147212045103
,,5311,,,3276551699.2579794,21596321840.426926,0.15171804363113747
,,7212,,,7269604.865896299,47940075.720782176,0.15163941142347637
,,5312,,,1172550118.6013072,7732559494.922266,0.15163803387109853
,,3231,,,86783723.75785322,574223287.8313416,0.1511323654002395
,,6115,,,5917200.828117567,39168757.03070485,0.15106940522720708
,,8123,,,59118870.62394672,396402521.543381,0.1491384827567928
,,7211,,,175478403.87247336,1185188687.0930939,0.14805946579094365
,,5171,,,360382803.95720696,2452242826.082468,0.14696048862866054
,,6116,,,13721498.792217623,93419502.2128331,0.14688045287328336
,,5161,,,69515403.8073683,476944047.35466397,0.14575169601744797
,,6117,,,13628906.643469654,94529120.48439977,0.1441768057676877
,,6114,,,6944308.076175733,48629940.01176857,0.14279902616567472
,,6231,,,559515.308298158,4156417.484566635,0.13461479997515105
,,6233,,,276928.992966,2077155.6439522798,0.13332125292213398
,,3273,,,180081951.77897346,1378371554.5287635,0.13064833729867542
,,2213,,,7681131.659636691,59144431.58469769,0.12987074951657857
,,8134,,,20083165.422548003,156604206.311711,0.12824154532971932
,,8139,,,52824194.81416473,415560004.5744074,0.12711568541891854
,,3331,,,4621568.454365457,36794029.53843138,0.12560647779929152
,,5162,,,166680702.8680001,1344498036.9367228,0.12397244048623682
,,8132,,,2863824.0527759995,23517535.63963788,0.12177398587414648
,,4452,,,2242310.8076752,18504358.708935786,0.12117743948577825
,,6232,,,251263.12836534297,2089148.275258436,0.12027060565352199
,,8133,,,2998626.043042,25836827.0644814,0.11606015071271247
,,2123,,,42327515.85545726,365477034.9623297,0.11581443375729483
,,8114,,,44754071.656858996,387139484.323822,0.1156019302320105
,,7131,,,1573447.706079326,13719193.130125232,0.11468952227403795
,,3333,,,8590704.585812712,75121273.74225622,0.11435781314475213
,,4453,,,1410256.0774490002,12494706.797131049,0.11286828097261264
,,3371,,,12558424.591449967,111586464.07769999,0.11254433676386835
,,4244,,,144084095.84300664,1286070556.0524948,0.11203436325084906
,,4853,,,30109553.648068924,273540176.2994346,0.11007360620806604
,,4854,,,19086226.598289203,177732406.23906213,0.10738743148853189
,,4852,,,2996850.8970326995,28040824.089181915,0.10687456572251304
,,4855,,,2859943.2016820004,26808121.36362914,0.10668197009739427
,,4851,,,1660318.746816657,15569383.062765341,0.10663998310808862
,,7225,,,453416180.3254067,4313812922.425806,0.10510798416136115
,,4859,,,19414139.375995398,185479176.77546772,0.10467018300117448
,,3221,,,55250747.18365358,550851621.1377746,0.10030059831635624
