stage_clean,methodology,projection_method,projection_label,occcd,soctitle,ep_entry_education,ep_work_experience,ep_on_the_job_training,ep_edu_grouped,ep_avg_annual_salary,employment,employment_auto,employment_raw,employment_auto_2024,employment_raw_2024,employment_auto_change,employment_raw_change,openings,ep_openings_annual_avg,empl_2021,employment_auto_pct_change,employment_raw_pct_change,year
Core/OEM,sam_mi_moodys_mi,moodys_mi,Moody's MI,33-0000,Protective Service Occupations,High school diploma or equivalent,Unreported,Short-term on-the-job training,HS or less,38370.0,117.76696063090897,117.76696063090897,174.8960013812233,129.37277756815809,187.45968633886199,-11.605816937249116,-12.563684957638685,301.56133974698616,322.0,110.0,-0.08970833861192141,-0.06702072964598857,2030
Core/OEM,sam_mi_moodys_mi,moodys_mi,Moody's MI,37-0000,Building and Grounds Cleaning and Maintenance Occupations,No formal educational credential,Unreported,Short-term on-the-job training,HS or less,35934.76659786543,454.4763354277054,454.4763354277054,786.8662479699753,458.76728693420813,778.2452851731153,-4.290951506502722,8.620962796859999,867.9000675733935,860.8,510.0,-0.00935322031171348,0.01107743658857159,2030
Core/OEM,sam_mi_moodys_mi,moodys_mi,Moody's MI,41-0000,Sales and Related Occupations,High school diploma or equivalent,Unreported,Moderate-term on-the-job training,HS or less,76789.80557619994,1137.042373300071,1137.042373300071,4709.367334675247,1150.6081975134264,4664.866178141382,-13.565824213355427,44.50115653386456,1147.5602578649234,1147.5,4280.0,-0.011790133463912791,0.009539642689513359,2030
Core/OEM,sam_mi_moodys_mi,moodys_mi,Moody's MI,43-0000,Office and Administrative Support Occupations,High school diploma or equivalent,Unreported,Short-term on-the-job training,HS or less,49442.47483943503,5414.047493164864,5414.047493164864,12082.040044365478,5699.718705767527,12534.61163778777,-285.6712126026632,-452.5715934222917,2698.2481318853197,2809.3999999999996,11660.0,-0.05012023002356124,-0.03610575313382154,2030
Core/OEM,sam_mi_moodys_mi,moodys_mi,Moody's MI,47-0000,Construction and Extraction Occupations,High school diploma or equivalent,Unreported,Apprenticeship,HS or less,62420.86210757396,4687.682697900978,4687.682697900978,6117.649499057473,4423.5511041015225,5836.999217522127,264.1315937994559,280.65028153534604,568.9349354031506,555.0,5700.0,0.059710306851559314,0.04808126077743168,2030
Core/OEM,sam_mi_moodys_mi,moodys_mi,Moody's MI,49-0000,"Installation, Maintenance, and Repair Occupations",High school diploma or equivalent,Unreported,Long-term on-the-job training,HS or less,62604.844179062464,9168.60981151074,9168.60981151074,10815.567444614575,8568.71857769945,10156.427417432156,599.8912338112896,659.1400271824186,899.0651713244303,878.5,11230.0,0.07000944521302621,0.06489880743410743,2030
Core/OEM,sam_mi_moodys_mi,moodys_mi,Moody's MI,51-0000,Production Occupations,High school diploma or equivalent,Unreported,Moderate-term on-the-job training,HS or less,45770.06458480196,113488.52375864334,113488.52375864334,123266.03110524382,113012.81101055664,122626.19441210921,475.71274808669114,639.83669313461,1201.7666448275497,1211.6999999999998,119140.0,0.004209370104441118,0.005217781536824948,2030
Core/OEM,sam_mi_moodys_mi,moodys_mi,Moody's MI,53-0000,Transportation and Material Moving Occupations,No formal educational credential,Unreported,Short-term on-the-job training,HS or less,42332.85038143571,8392.057406671265,8392.057406671265,9559.029399512496,8535.039093850773,9667.733814879597,-142.9816871795083,-108.70441536710132,2841.3802244773237,2839.1,9180.0,-0.01675231778171023,-0.011244043066203838,2030
Core/OEM,sam_mi_moodys_mi_detail,moodys_mi_detail,Moody's MI (detail),00-0000,All Occupations,High school diploma or equivalent,Unreported,Moderate-term on-the-job training,HS or less,58482.51664242762,176052.8766032685,176052.8766032685,299663.7713080989,174114.02550542576,293289.0,1938.8510978427366,6374.77130809892,15555.584940338778,15511.2,283880.0,0.01113552508027171,0.02173545993234973,2030
Core/OEM,sam_mi_moodys_mi_detail,moodys_mi_detail,Moody's MI (detail),11-0000,Management Occupations,Bachelor's degree,5 years or more,Unreported,BA+,133654.46301285474,9186.275030013629,9186.275030013629,24036.186376235382,9055.324256413247,23335.02266254626,130.95077360038158,701.1637136891222,1683.0383922163564,1641.2,22000.0,0.01446119099574357,0.03004769799579072,2030
