segment_id,segment_name,year,methodology,projection_method,projection_label,occcd,soctitle,employment,employment_auto,employment_raw,share,share_2024,share_2034,ep_entry_education,ep_work_experience,ep_on_the_job_training,ep_edu_grouped,empl_2021,ep_openings_annual_avg,openings
2,Equipment Manufacturing,2030,sam_mi_bls_us,bls_us,BLS US,11-3031,Financial Managers,30.660094142039,30.660094142039,231.07779342246187,0.004973592730204378,0.004664970313825223,0.0051601806063212,Bachelor's degree,5 years or more,,BA+,250.0,74.6,78.516280422961
3,Forging & Foundries,2030,sam_mi_bls_us,bls_us,BLS US,11-3031,Financial Managers,44.8231736159661,44.8231736159661,81.51614676052334,0.0054052441675555936,0.005025125628140715,0.0046728971962616,Bachelor's degree,5 years or more,,BA+,50.0,74.6,73.74572172126362
4,Parts & Machining,2030,sam_mi_bls_us,bls_us,BLS US,11-3031,Financial Managers,52.67464826965353,52.67464826965353,178.37967221133331,0.0035766279348575583,0.0032926593066046153,0.0047465672147821,Bachelor's degree,5 years or more,,BA+,90.0,74.6,79.89993870314528
5,Component Systems,2030,sam_mi_bls_us,bls_us,BLS US,11-3031,Financial Managers,36.99484165771175,36.99484165771175,112.62314055609166,0.005910658472452369,0.005600497822028621,0.0068587105624142,Bachelor's degree,5 years or more,,BA+,100.0,74.6,82.30804846866235
6,Engineering & Design,2030,sam_mi_bls_us,bls_us,BLS US,11-3031,Financial Managers,7.548459852359681,7.548459852359681,882.4405309173773,0.007137783880543906,0.006742485783915557,0.0062867434668841,Bachelor's degree,5 years or more,,BA+,920.0,74.6,80.92574515030532
7,Core Automotive,2030,sam_mi_bls_us,bls_us,BLS US,11-3031,Financial Managers,492.5987549557511,492.5987549557511,492.5987549557511,0.0031121866908582476,0.0029782359679266213,0.0027277686852154,Bachelor's degree,5 years or more,,BA+,430.0,74.6,71.2887710749329
8,"Motor Vehicle Parts, Materials, & Products Sales",2030,sam_mi_bls_us,bls_us,BLS US,11-3031,Financial Managers,460.63883439650937,460.63883439650937,460.63883439650937,0.0040103497163392066,0.0037030346820809234,0.0039022557959975,Bachelor's degree,5 years or more,,BA+,250.0,74.6,80.4565950959594
9,"Dealers, Maintenance, & Repair",2030,sam_mi_bls_us,bls_us,BLS US,11-3031,Financial Managers,261.84394679767877,261.84394679767877,261.84394679767877,0.0037144023268297225,0.0034980323567993113,0.006148662876395,Bachelor's degree,5 years or more,,BA+,150.0,74.6,80.23212667374497
0,0. All Segments,2030,sam_mi_bls_us,bls_us,BLS US,11-3031,Financial Managers,1615.2577946597544,1615.2577946597544,3028.731654033222,0.003599213164666126,0.003376263417774192,0.003752571814921041,Bachelor's degree,5 years or more,,BA+,2630.0,746.0,786.6141384415325
1,Materials & Processing - Non-Metals,2030,sam_mi_bls_us,bls_us,BLS US,11-3051,Industrial Production Managers,280.31340155646967,280.31340155646967,1034.7884917699737,0.02116954466847074,0.021136722975784436,0.0180023501762632,Bachelor's degree,5 years or more,,BA+,1470.0,17.1,17.464115331044642
