segment_id,segment_name,year,adjustment_source,forecast_source,value_type,employment_qcew
3,Forging & Foundries,2028,sam_mi,dtmb_mi,Forecast,8768.512954745476
4,Parts & Machining,2028,sam_mi,dtmb_mi,Forecast,14752.81218326102
5,Component Systems,2028,sam_mi,dtmb_mi,Forecast,6039.167497101946
6,Engineering & Design,2028,sam_mi,dtmb_mi,Forecast,1066.1995769700475
7,Core Automotive,2028,sam_mi,dtmb_mi,Forecast,169486.231355338
8,"Motor Vehicle Parts, Materials, & Products Sales",2028,sam_mi,dtmb_mi,Forecast,114145.92074786354
9,"Dealers, Maintenance, & Repair",2028,sam_mi,dtmb_mi,Forecast,69381.60733546724
10,Logistics,2028,sam_mi,dtmb_mi,Forecast,47294.49591103171
1,Materials & Processing - Coatings & Surface Treatments,2029,sam_mi,dtmb_mi,Forecast,4837.211634185169
1,Materials & Processing - Metals,2029,sam_mi,dtmb_mi,Forecast,3243.9172987780435
1,Materials & Processing - Non-Metals,2029,sam_mi,dtmb_mi,Forecast,12790.16439431473
2,Equipment Manufacturing,2029,sam_mi,dtmb_mi,Forecast,6150.776543505633
3,Forging & Foundries,2029,sam_mi,dtmb_mi,Forecast,8706.060415323478
4,Parts & Machining,2029,sam_mi,dtmb_mi,Forecast,14707.533030359267
5,Component Systems,2029,sam_mi,dtmb_mi,Forecast,6052.885629447146
6,Engineering & Design,2029,sam_mi,dtmb_mi,Forecast,1075.02834519598
7,Core Automotive,2029,sam_mi,dtmb_mi,Forecast,168599.02254368446
8,"Motor Vehicle Parts, Materials, & Products Sales",2029,sam_mi,dtmb_mi,Forecast,113850.72932650776
9,"Dealers, Maintenance, & Repair",2029,sam_mi,dtmb_mi,Forecast,69327.15964818839
10,Logistics,2029,sam_mi,dtmb_mi,Forecast,47396.416634766865
1,Materials & Processing - Coatings & Surface Treatments,2030,sam_mi,dtmb_mi,Forecast,4828.887921757617
1,Materials & Processing - Metals,2030,sam_mi,dtmb_mi,Forecast,3216.8676489201544
1,Materials & Processing - Non-Metals,2030,sam_mi,dtmb_mi,Forecast,12751.505165267125
2,Equipment Manufacturing,2030,sam_mi,dtmb_mi,Forecast,6132.184279404353
