share_method,share_label,projection_method,projection_label,segment_id,segment_name,base_employment,auto_base_employment,projected_employment
bea_detail_inputs,BEA Detail (Intermediate Inputs),bls_us,BLS US,6,Engineering & Design,120207,546,560
bea_detail_inputs,BEA Detail (Intermediate Inputs),bls_us,BLS US,7,Core Automotive,173082,173082,158280
bea_detail_inputs,BEA Detail (Intermediate Inputs),bls_us,BLS US,8,"Motor Vehicle Parts, Materials, & Products Sales",115340,115340,114862
bea_detail_inputs,BEA Detail (Intermediate Inputs),bls_us,BLS US,9,"Dealers, Maintenance, & Repair",69600,69600,70494
bea_detail_inputs,BEA Detail (Intermediate Inputs),bls_us,BLS US,10,Logistics,46889,46889,47264
bea_detail_output,BEA Detail (Total Output),moodys_mi,Moody's MI,1,Materials & Processing - Coatings & Surface Treatments,15568,1333,1309
bea_detail_output,BEA Detail (Total Output),moodys_mi,Moody's MI,1,Materials & Processing - Metals,9192,1023,868
bea_detail_output,BEA Detail (Total Output),moodys_mi,Moody's MI,1,Materials & Processing - Non-Metals,47844,2752,2529
bea_detail_output,BEA Detail (Total Output),moodys_mi,Moody's MI,2,Equipment Manufacturing,47550,1225,1180
bea_detail_output,BEA Detail (Total Output),moodys_mi,Moody's MI,3,Forging & Foundries,16337,4491,3683
bea_detail_output,BEA Detail (Total Output),moodys_mi,Moody's MI,4,Parts & Machining,50443,3947,3730
bea_detail_output,BEA Detail (Total Output),moodys_mi,Moody's MI,5,Component Systems,18283,1196,1161
bea_detail_output,BEA Detail (Total Output),moodys_mi,Moody's MI,6,Engineering & Design,120207,390,398
bea_detail_output,BEA Detail (Total Output),moodys_mi,Moody's MI,7,Core Automotive,173082,173082,174974
bea_detail_output,BEA Detail (Total Output),moodys_mi,Moody's MI,8,"Motor Vehicle Parts, Materials, & Products Sales",115340,115340,116955
bea_detail_output,BEA Detail (Total Output),moodys_mi,Moody's MI,9,"Dealers, Maintenance, & Repair",69600,69600,71696
bea_detail_output,BEA Detail (Total Output),moodys_mi,Moody's MI,10,Logistics,46889,46889,41724
bea_detail_output,BEA Detail (Total Output),moodys_us,Moody's US,1,Materials & Processing - Coatings & Surface Treatments,15568,1333,1338
bea_detail_output,BEA Detail (Total Output),moodys_us,Moody's US,1,Materials & Processing - Metals,9192,1023,906
bea_detail_output,BEA Detail (Total Output),moodys_us,Moody's US,1,Materials & Processing - Non-Metals,47844,2752,2611
bea_detail_output,BEA Detail (Total Output),moodys_us,Moody's US,2,Equipment Manufacturing,47550,1225,1163
bea_detail_output,BEA Detail (Total Output),moodys_us,Moody's US,3,Forging & Foundries,16337,4491,3871
