segment,occcd,soctitle,empl_2021,empl_2024,occ_level,is_total_all,pct_seg_major_2021,pct_seg_detailed_2021,pct_seg_major_2024,pct_seg_detailed_2024,level_change_2021_2024,pct_change_2021_2024,ep_title,ep_type,ep_employment_2024,ep_employment_2034,ep_change_numeric,ep_change_percent,ep_openings_annual_avg,ep_median_annual_wage_2024,ep_entry_education,ep_work_experience,ep_on_the_job_training,ep_edu_grouped
Total,19-2041,"Environmental Scientists and Specialists, Including Health",250.0,340.0,detailed,False,,0.0003622243472717262,,0.0004712208778567766,90.0,36.00000000000001,"        Environmental scientists and specialists, including health",Line item,90.3,94.3,4.0,4.4,8.5,80060,Bachelor's degree,nan,nan,BA+
Total,19-2042,"Geoscientists, Except Hydrologists and Geographers",140.0,90.0,detailed,False,,0.00020284563447216667,,0.00012473493825620557,-50.0,-35.71428571428571,"        Geoscientists, except hydrologists and geographers",Line item,25.1,26.0,0.8,3.2,2.0,99240,Bachelor's degree,nan,nan,BA+
Total,19-3000,Social Scientists and Related Workers,400.0,,broad,False,,,,,,,,,,,,,,,,,,
Total,19-3011,Economists,130.0,40.0,detailed,False,,0.00018835666058129763,,5.543775033609136e-05,-90.0,-69.23076923076923,      Economists,Line item,17.6,17.8,0.2,1.2,0.9,115440,Master's degree,nan,nan,BA+
Total,19-3022,Survey Researchers,90.0,,detailed,False,,0.00013040076501782144,,,,,      Survey researchers,Line item,8.8,8.3,-0.5,-5.2,0.7,63380,Master's degree,nan,nan,BA+
Total,19-3041,Sociologists,,60.0,detailed,False,,,,8.315662550413704e-05,,,      Sociologists,Line item,3.4,3.6,0.1,3.6,0.3,101690,Master's degree,nan,nan,BA+
Total,19-3051,Urban and Regional Planners,150.0,90.0,detailed,False,,0.00021733460836303572,,0.00012473493825620557,-60.0,-40.0,      Urban and regional planners,Line item,44.7,46.2,1.5,3.4,3.4,83720,Master's degree,nan,nan,BA+
Total,19-3099,"Social Scientists and Related Workers, All Other",,120.0,detailed,False,,,,0.00016631325100827408,,,"        Social scientists and related workers, all other",Line item,40.8,40.1,-0.7,-1.7,3.2,100340,Bachelor's degree,nan,nan,BA+
Total,19-4000,"Life, Physical, and Social Science Technicians",1870.0,,broad,False,,,,,,,,,,,,,,,,,,
Total,19-4021,Biological Technicians,660.0,530.0,detailed,False,,0.0009562722767973573,,0.0007345501919532105,-130.0,-19.696969696969703,      Biological technicians,Line item,82.7,85.6,2.9,3.5,9.1,52000,Bachelor's degree,nan,nan,BA+
Total,19-4031,Chemical Technicians,650.0,800.0,detailed,False,,0.0009417833029064882,,0.0011087550067218272,150.0,23.076923076923084,      Chemical technicians,Line item,57.0,59.0,2.1,3.7,6.7,57790,Associate's degree,nan,Moderate-term on-the-job training,SC or associate's
Total,19-4042,"Environmental Science and Protection Technicians, Including Health",80.0,60.0,detailed,False,,0.0001159117911269524,,8.315662550413704e-05,-20.0,-25.0,"        Environmental science and protection technicians, including health",Line item,40.4,42.1,1.6,4.0,5.6,49490,Associate's degree,nan,nan,SC or associate's
Total,19-4043,"Geological Technicians, Except Hydrologic Technicians",150.0,90.0,detailed,False,,0.00021733460836303572,,0.00012473493825620557,-60.0,-40.0,"        Geological technicians, except hydrologic technicians",Line item,9.8,10.0,0.1,1.5,1.3,48390,Associate's degree,nan,Moderate-term on-the-job training,SC or associate's
Total,19-4061,Social Science Research Assistants,30.0,,detailed,False,,4.3466921672607145e-05,,,,,      Social science research assistants,Line item,40.6,42.3,1.8,4.4,5.2,58040,Bachelor's degree,nan,nan,BA+
Total,19-4099,"Life, Physical, and Social Science Technicians, All Other",260.0,300.0,detailed,False,,0.00037671332116259525,,0.00041578312752068523,40.0,15.384615384615374,"        Life, physical, and social science technicians, all other",Line item,83.2,86.2,2.9,3.5,10.6,60130,Associate's degree,nan,nan,SC or associate's
Total,19-5000,Occupational Health and Safety Specialists and Technicians,1020.0,,broad,False,,,,,,,,,,,,,,,,,,
Total,19-5011,Occupational Health and Safety Specialists,950.0,910.0,detailed,False,,0.0013764525196325597,,0.0012612088201460784,-40.0,-4.210526315789476,      Occupational health and safety specialists,Line item,131.9,148.4,16.5,12.5,14.9,83910,Bachelor's degree,nan,nan,BA+
Total,19-5012,Occupational Health and Safety Technicians,70.0,140.0,detailed,False,,0.00010142281723608334,,0.00019403212617631976,70.0,100.0,      Occupational health and safety technicians,Line item,31.9,34.6,2.7,8.5,3.4,58440,High school diploma or equivalent,nan,Moderate-term on-the-job training,HS or less
Total,21-0000,Community and Social Service Occupations,,110.0,major,False,,,0.0001518519029804387,,,,  Community and social service occupations,Summary,3196.9,3409.2,212.3,6.6,313.7,57530,—,—,—,
Total,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",50.0,,broad,False,,,,,,,,,,,,,,,,,,
Total,21-1022,Healthcare Social Workers,,50.0,detailed,False,,,,6.92971879201142e-05,,,        Healthcare social workers,Line item,193.2,208.1,14.8,7.7,18.4,68090,Master's degree,nan,Internship/residency,BA+
Total,23-0000,Legal Occupations,,550.0,major,False,,,0.0007592595149021936,,,,  Legal occupations,Summary,1418.2,1456.5,38.3,2.7,83.8,99990,—,—,—,
Total,23-1000,"Lawyers, Judges, and Related Workers",290.0,,broad,False,,,,,,,,,,,,,,,,,,
Total,23-1011,Lawyers,290.0,340.0,detailed,False,,0.0004201802428352024,,0.0004712208778567766,50.0,17.24137931034482,        Lawyers,Line item,864.8,900.7,35.9,4.1,31.5,151160,Doctoral or professional degree,nan,nan,BA+
Total,23-2000,Legal Support Workers,100.0,,broad,False,,,,,,,,,,,,,,,,,,
Total,23-2011,Paralegals and Legal Assistants,50.0,80.0,detailed,False,,7.244486945434524e-05,,0.00011087550067218272,30.0,60.00000000000001,      Paralegals and legal assistants,Line item,376.2,376.8,0.6,0.2,39.3,61010,Associate's degree,nan,nan,SC or associate's
Total,23-2093,"Title Examiners, Abstractors, and Searchers",50.0,30.0,detailed,False,,7.244486945434524e-05,,4.157831275206852e-05,-20.0,-40.0,"        Title examiners, abstractors, and searchers",Line item,57.4,58.5,1.1,2.0,5.4,54980,High school diploma or equivalent,nan,Moderate-term on-the-job training,HS or less
Total,23-2099,"Legal Support Workers, All Other",,100.0,detailed,False,,,,0.0001385943758402284,,,"        Legal support workers, all other",Line item,51.3,50.7,-0.6,-1.2,4.7,68760,Associate's degree,nan,nan,SC or associate's
Total,25-0000,Educational Instruction and Library Occupations,,140.0,major,False,,,0.00019326605833874019,,,,  Educational instruction and library occupations,Summary,9813.2,9875.4,62.2,0.6,890.3,59220,—,—,—,
Total,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",,4270.0,major,False,,,0.005894614779331575,,,,"  Arts, design, entertainment, sports, and media occupations",Summary,3021.1,3104.6,83.5,2.8,289.4,60140,—,—,—,
Total,27-1000,Art and Design Workers,4280.0,,broad,False,,,,,,,,,,,,,,,,,,
Total,27-1011,Art Directors,130.0,140.0,detailed,False,,0.00018835666058129763,,0.00019403212617631976,10.0,7.692307692307687,        Art directors,Line item,135.0,140.7,5.7,4.2,12.3,111040,Bachelor's degree,5 years or more,nan,BA+
Total,27-1014,Special Effects Artists and Animators,30.0,100.0,detailed,False,,4.3466921672607145e-05,,0.0001385943758402284,70.0,233.33333333333334,        Special effects artists and animators,Line item,57.1,58.0,0.9,1.6,5.0,99800,Bachelor's degree,nan,nan,BA+
