stage,year,employment,wages,gdp
OEM,2040,4431.136511090592,842683.9332576992,1627.4371782660173
OEM,2041,4459.200846555582,880935.1110028566,1689.9375906924292
OEM,2042,4487.909928266154,921362.4894228431,1756.3158258796686
OEM,2043,4516.263820372653,964756.6464573059,1826.910668918159
OEM,2044,4544.733279822803,1011281.0536006895,1903.7774511255843
OEM,2045,4572.938850887023,1060338.3281951358,1986.0214198039257
OEM,2046,4600.088857242923,1111315.6241977767,2072.1814016096378
OEM,2047,4624.626230763651,1164316.6655661364,2164.110487198265
OEM,2048,4647.500883320182,1219853.5983885415,2262.797698698189
OEM,2049,4670.3446879613,1277756.6844979662,2367.743229625459
OEM,2050,4693.360655619725,1337962.8811712158,2479.3862318755046
OEM,2051,4715.659748595669,1400601.9889849606,2597.7067976030053
OEM,2052,4736.329212439943,1465808.9420238766,2723.7146158030164
OEM,2053,4753.88174500272,1533228.3998649172,2857.404852103726
OEM,2054,4767.361727802685,1602859.0532461144,2998.9375687539223
OEM,2055,4777.698295925897,1675354.5110306493,3149.5187471811423
Upstream,1970,4763.363597210512,NDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDND,NDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDND
Upstream,1971,4480.971120794875,NDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDND,NDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDND
Upstream,1972,4652.558169928347,NDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDND,NDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDND
Upstream,1973,5036.956624359572,NDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDND,NDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDND
Upstream,1974,5100.782690200481,NDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDND,NDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDND
Upstream,1975,4562.200328670263,58375.0516525234,NDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDND
Upstream,1976,4755.167549476087,65302.861856320036,NDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDNDND
Upstream,1977,4994.322181472554,74207.65704522292,133.07642802772347
Upstream,1978,5276.552047477235,84605.98383377722,153.2510941602876
Upstream,1979,5522.041031336044,96189.67849095822,172.27134828392877
Upstream,1980,5354.35836561677,101760.76139309244,180.81504985818944
Upstream,1981,5340.9574319949625,110990.08671522989,202.66626252399377
Upstream,1982,4919.8498484828015,106379.51722359537,184.0836941510184
Upstream,1983,4770.135230722852,106839.70902243268,190.20961681927577
Upstream,1984,5139.907552150428,121061.36430808625,219.7705162002061
Upstream,1985,5115.375484191191,126321.043601122,224.12690751388973
Upstream,1986,4931.479658615003,126769.39631695859,225.92681004191056
Upstream,1987,4912.429148058917,129914.05826909421,239.53032925999335
Upstream,1988,5065.483749141073,141069.90390484506,267.2254078346346
Upstream,1989,5117.71897265174,146531.78919698278,287.18374156345527
Upstream,1990,5036.759577480454,150308.78222083664,287.5450127777132
Upstream,1991,4826.29960170698,149117.2769028525,283.2340037675624
Upstream,1992,4694.27785612211,154316.45246161486,294.8259413947158
Upstream,1993,4691.919378448364,157621.98686375923,305.7583709099373
Upstream,1994,4797.253147072127,166772.24316118163,336.5534903690964
Upstream,1995,4926.385586402426,178014.90625131765,361.11567745742116
Upstream,1996,4991.389481442275,187780.6700662285,375.06739621762284
Upstream,1997,5091.148521142882,201687.91091033915,403.26272504600297
Upstream,1998,5156.622973947158,210613.74203866743,406.686562133925
Upstream,1999,5064.5847999555,216596.69587604475,406.3251009921479
Upstream,2000,5101.815113204596,232649.877529516,431.6582628011004
Upstream,2001,4825.729551404844,219934.10520110637,381.1216770389351
Upstream,2002,4350.937758014732,202356.12522996624,377.8511253459569
Upstream,2003,4096.0713576170665,198997.29200093666,390.8510074597387
Upstream,2004,4069.9139253696694,206989.71808378672,423.17079141955645
Upstream,2005,4090.3353412868346,213612.7363033021,438.8960675713156
Upstream,2006,4097.506642287114,224700.00724431194,464.472339847424
Upstream,2007,4047.5522863420792,229705.50194553426,481.1711916228621
Upstream,2008,3958.0538523067075,229896.1298567444,481.0753220260411
Upstream,2009,3440.768877341228,199343.34046990031,436.67478892985287
Upstream,2010,3391.8015939223515,208496.20827442282,478.4312264242038
Upstream,2011,3535.2575825465156,224290.24188227992,510.6363850870992
Upstream,2012,3626.0802803996507,233204.72645132217,529.3203913964455
Upstream,2013,3636.5236780318587,235409.97890708377,533.7999830034502
Upstream,2014,3674.438163826264,245549.28329172978,536.6260582530646
Upstream,2015,3699.8633730522556,251320.08944395577,556.6878195294447
