Geography:,naics_code,metric,value_base,value_target,cagr_pct
Michigan,4239,wages,704.3927160864829,847.3485182634919,3.1275110519670024
Michigan,4247,wages,390.08699054270573,445.7579614674112,2.248341806203591
Michigan,4413,wages,819.8071398430894,1015.6635617242599,3.6349787247278664
Michigan,4571,wages,835.3378391198605,1056.198422316173,3.9873617666097205
Michigan,4411,wages,3180.1303530698774,3875.688215845344,3.3516271345939597
Michigan,8111,wages,1678.951634266079,2247.848060505164,4.983600011057665
Michigan,4841,wages,2513.721915846818,2638.7271042677057,0.8121494116377193
Michigan,4842,wages,827.8383501639187,877.4136957932922,0.9740582325720837
United States,3255,wages,5867.16609784494,7014.956918118312,3.0226628125790134
United States,3328,wages,8394.40857294355,9362.102270307343,1.8350340479733829
United States,3311,wages,9765.11391125053,11372.22912678276,2.571816777075453
United States,3312,wages,4959.002681187454,5757.850072864212,2.520567493663717
United States,3313,wages,5137.493656221569,6113.157827553723,2.94036843352361
United States,3314,wages,5635.31586257488,6886.6181320789465,3.398591550764718
United States,3252,wages,10263.81096360533,11744.021308979849,2.2707319766926304
United States,3261,wages,40782.99706603156,49180.48250893995,3.1697253807825287
United States,3262,wages,9610.485363223663,10501.50603718997,1.4887049686314935
United States,3272,wages,5718.49758122002,6077.170381997348,1.0190418866465656
United States,3335,wages,11753.48083704151,11739.61963434358,-0.019665123053358435
United States,3339,wages,24634.985430211193,28068.73412392077,2.1986328623916362
United States,3315,wages,7928.081874242816,8511.452487429997,1.190387446692931
United States,3321,wages,6370.836807942752,6727.5990503753965,0.9122609442750562
United States,3326,wages,2618.939188737345,2759.860118748078,0.8773370861515417
