series_id,year,employment,naics_code,segment_id,segment_name,stage,segment_label
ENU260001053252,2004,3832.0,3252,1,Materials & Processing - Non-Metals,Upstream,1. Materials & Processing
ENU260001053255,2004,3984.0,3255,1,Materials & Processing - Coatings & Surface Treatments,Upstream,1. Materials & Processing
ENU260001053261,2004,37601.0,3261,1,Materials & Processing - Non-Metals,Upstream,1. Materials & Processing
ENU260001053262,2004,5594.0,3262,1,Materials & Processing - Non-Metals,Upstream,1. Materials & Processing
ENU260001053272,2004,7302.0,3272,1,Materials & Processing - Non-Metals,Upstream,1. Materials & Processing
ENU260001053311,2004,5963.0,3311,1,Materials & Processing - Metals,Upstream,1. Materials & Processing
ENU260001053312,2004,2547.0,3312,1,Materials & Processing - Metals,Upstream,1. Materials & Processing
ENU260001053313,2004,1893.0,3313,1,Materials & Processing - Metals,Upstream,1. Materials & Processing
ENU260001053314,2004,2335.0,3314,1,Materials & Processing - Metals,Upstream,1. Materials & Processing
ENU260001053315,2004,14910.0,3315,3,Forging & Foundries,Upstream,3. Forging & Foundries
ENU260001053328,2004,16021.0,3328,1,Materials & Processing - Coatings & Surface Treatments,Upstream,1. Materials & Processing
ENU260001053335,2004,40652.0,3335,2,Equipment Manufacturing,Upstream,2. Equipment Manufacturing
ENU260001053339,2004,16306.0,3339,2,Equipment Manufacturing,Upstream,2. Equipment Manufacturing
ENU260001053321,2004,6926.0,3321,3,Forging & Foundries,Upstream,3. Forging & Foundries
ENU260001053326,2004,3091.0,3326,4,Parts & Machining,Upstream,4. Parts & Machining
ENU260001053327,2004,27123.0,3327,4,Parts & Machining,Upstream,4. Parts & Machining
ENU260001053329,2004,12901.0,3329,4,Parts & Machining,Upstream,4. Parts & Machining
ENU260001053344,2004,6133.0,3344,4,Parts & Machining,Upstream,4. Parts & Machining
ENU260001053336,2004,4612.0,3336,5,Component Systems,Upstream,5. Component Systems
ENU260001053345,2004,8304.0,3345,5,Component Systems,Upstream,5. Component Systems
ENU260001053359,2004,1992.0,3359,5,Component Systems,Upstream,5. Component Systems
ENU260001055413,2004,70855.0,5413,6,Engineering & Design,OEM,6. Engineering & Design
ENU260001055414,2004,3751.0,5414,6,Engineering & Design,OEM,6. Engineering & Design
ENU260001055417,2004,23731.0,5417,6,Engineering & Design,OEM,6. Engineering & Design
ENU260001053361,2004,70844.0,3361,7,Core Automotive,OEM,7. Core Automotive
ENU260001053362,2004,9813.0,3362,7,Core Automotive,OEM,7. Core Automotive
